Run Nr.,ZS Version,Beta schedule,Beta value,Dropout,Bit variance A,Bit variance B,Recon error A,Recon error B,Effective bits
2,mean,increase,"0,20","0,4","0,00E+00","3,66E-03","6,22E-04","9,56E-03",61
2,mean,increase,"0,30","0,4","0,00E+00","9,17E-03","8,76E-04","2,30E-02",63
2,mean,step,"0,01","0,4","0,00E+00","5,61E-03","3,56E-04","1,70E-03",71
2,mean,step,"0,03","0,4","0,00E+00","4,75E-03","3,82E-04","3,20E-03",57
2,mean,step,"0,05","0,4","0,00E+00","2,36E-03","4,38E-04","1,62E-03",55
2,root,increase,"0,05","0,4","0,00E+00","5,10E-03","3,78E-04","3,72E-03",62
3,root,increase,"0,03","0,4","0,00E+00","4,39E-03","3,79E-04","2,92E-03",62
2,mean,step,"0,10","0,4","0,00E+00","2,77E-03","2,22E-03","4,71E-03",39
1,weighted_root,step,"0,20","0,4","0,00E+00","2,71E-03","2,29E-03","4,38E-03",31
3,root,increase,"0,07","0,4","0,00E+00","5,58E-03","3,95E-04","4,56E-03",60
3,root,increase,"0,10","0,4","0,00E+00","5,46E-03","3,99E-04","5,15E-03",55
2,root,increase,"0,07","0,4","0,00E+00","6,08E-03","4,03E-04","7,60E-03",60
2,root,step,"0,20","0,4","0,00E+00","1,74E-04","1,51E-02","1,53E-02",20
2,root,step,"0,30","0,4","0,00E+00","1,99E-04","1,92E-02","2,08E-02",15
2,root,step,"0,70","0,4",,,,,
2,root,increase,"0,10","0,4","0,00E+00","2,64E-03","4,17E-04","2,84E-03",50
1,root,increase,"0,10","0,4","0,00E+00","8,14E-04","5,82E-03","6,62E-03",28
2,root,step,"0,01","0,4","0,00E+00","5,19E-03","3,58E-04","1,71E-03",72
2,root,step,"0,03","0,4","0,00E+00","2,17E-03","3,94E-04","1,27E-03",52
3,root,step,"0,07","0,4","0,00E+00","2,57E-03","1,74E-03","4,18E-03",35
2,weighted_root,step,"0,20","0,4","0,00E+00","2,51E-03","1,93E-03","3,59E-03",31
1,weighted,step,"0,07","0,4","0,00E+00","2,27E-03","4,33E-04","1,43E-03",48
2,weighted,step,"0,01","0,4","0,00E+00","3,34E-03","3,72E-04","1,23E-03",69
2,weighted,step,"0,70","0,4","0,00E+00","5,82E-05","1,14E-02","1,14E-02",22
2,weighted,step,"0,03","0,4","0,00E+00","5,11E-03","3,80E-04","2,97E-03",58
1,weighted,step,"0,05","0,4","0,00E+00","2,21E-03","4,00E-04","1,39E-03",49
2,weighted,step,"0,07","0,4","0,00E+00","4,71E-03","4,19E-04","3,41E-03",51
1,root,step,"0,05","0,4","0,00E+00","2,16E-03","4,63E-04","1,40E-03",46
2,weighted,step,"0,50","0,4","0,00E+00","2,10E-03","4,52E-03","6,35E-03",28
2,root,step,"0,05","0,4","0,00E+00","2,01E-03","6,76E-04","1,95E-03",44
2,weighted_root,step,"0,01","0,4","0,00E+00","1,16E-03","3,85E-04","3,77E-03",65
2,weighted_root,step,"0,03","0,4","0,00E+00","4,34E-03","3,97E-04","1,85E-03",54
2,mean,increase,"0,70","0,4","1,16E-04",,"1,82E-02",,69
2,root,step,"0,07","0,4","0,00E+00","1,80E-03","3,45E-03","4,80E-03",32
1,weighted,step,"0,20","0,4","0,00E+00","1,72E-03","8,76E-04","2,03E-03",36
3,mean,step,"0,07","0,4","0,00E+00","1,48E-03","3,98E-04","1,20E-03",48
1,root,step,"0,10","0,4","0,00E+00","1,47E-03","6,28E-03","7,50E-03",28
3,mean,increase,"0,01","0,4","0,00E+00","3,94E-03","3,60E-04","1,75E-03",76
3,mean,increase,"0,03","0,4","0,00E+00","3,77E-03","3,77E-04","2,88E-03",67
3,mean,increase,"0,05","0,4","0,00E+00","6,02E-03","3,69E-04","5,36E-03",67
3,mean,increase,"0,07","0,4","0,00E+00","7,24E-03","3,58E-04","8,83E-03",65
3,mean,increase,"0,10","0,4","0,00E+00","5,92E-03","3,70E-04","9,44E-03",62
3,mean,increase,"0,20","0,4","0,00E+00","6,47E-03","5,34E-04","3,32E-02",64
3,mean,increase,"0,30","0,4","0,00E+00","6,10E-03","7,43E-04","1,41E-02",63
3,mean,step,"0,01","0,4","0,00E+00","3,77E-03","3,57E-04","1,35E-03",72
3,mean,step,"0,03","0,4","0,00E+00","2,15E-03","3,85E-04","1,67E-03",55
3,mean,step,"0,30","0,4","0,00E+00","4,55E-05","1,79E-02","1,80E-02",16
3,mean,step,"0,05","0,4","0,00E+00","4,26E-03","3,92E-04","3,58E-03",56
2,weighted,step,"0,30","0,4","0,00E+00","1,26E-03","2,67E-03","3,67E-03",32
1,weighted,step,"0,70","0,4","0,00E+00","1,11E-03","8,56E-03","9,67E-03",24
3,weighted_root,step,"0,50","0,4","0,00E+00","9,63E-04","6,85E-03","8,12E-03",24
3,root,increase,"0,20","0,4","1,15E-07","1,96E-04","1,70E-02","1,75E-02",16
2,root,increase,"0,20","0,4","0,00E+00","2,04E-04","1,74E-02","1,76E-02",17
1,root,increase,"0,20","0,4","0,00E+00","2,22E-04","1,78E-02","1,87E-02",17
1,root,increase,"0,70","0,4","0,00E+00",,"5,22E-02",,3
2,root,increase,"0,30","0,4","0,00E+00","7,15E-05","5,65E-02","5,70E-02",2
1,root,increase,"0,30","0,4","0,00E+00","4,99E-07","5,88E-02","5,86E-02",1
3,root,increase,"0,30","0,4","0,00E+00","0,00E+00","6,02E-02","6,02E-02",0
3,root,step,"0,01","0,4","0,00E+00","3,86E-03","3,56E-04","1,17E-03",72
3,root,step,"0,20","0,4","0,00E+00","6,63E-05","1,74E-02","1,76E-02",16
3,root,step,"0,30","0,4","0,00E+00","4,71E-05","1,79E-02","1,80E-02",16
3,root,step,"0,03","0,4","0,00E+00","4,86E-03","3,83E-04","3,04E-03",53
3,weighted,step,"0,50","0,4","0,00E+00","8,86E-04","4,80E-03","5,45E-03",28
3,mean,step,"0,20","0,4","0,00E+00","8,44E-04","9,57E-03","1,11E-02",29
1,root,increase,"1,00","0,4",,,,,
3,weighted,step,"0,01","0,4","0,00E+00","5,57E-03","3,76E-04","1,84E-03",69
3,weighted,step,"0,03","0,4","0,00E+00","5,62E-03","4,09E-04","2,88E-03",57
3,weighted,step,"0,05","0,4","0,00E+00","4,13E-03","3,82E-04","2,65E-03",51
3,weighted,step,"0,07","0,4","0,00E+00","5,39E-03","4,15E-04","3,94E-03",52
1,weighted_root,step,"0,30","0,4","0,00E+00","7,69E-04","8,86E-03","9,56E-03",22
1,root,step,"0,07","0,4","0,00E+00","7,47E-04","3,88E-03","4,45E-03",32
1,weighted,step,"0,50","0,4","0,00E+00","5,74E-04","4,92E-03","5,41E-03",28
3,weighted_root,step,"0,01","0,4","0,00E+00","2,76E-03","3,66E-04","1,11E-03",64
3,weighted_root,step,"0,03","0,4","0,00E+00","3,29E-03","4,17E-04","1,76E-03",55
3,weighted,step,"1,00","0,4","0,00E+00","5,62E-04","9,04E-03","9,59E-03",23
3,weighted,step,"0,70","0,4","0,00E+00","4,52E-04","8,93E-03","9,27E-03",24
3,root,step,"0,10","0,4","0,00E+00","4,48E-04","7,81E-03","8,44E-03",26
2,weighted_root,step,"0,30","0,4","0,00E+00","4,19E-04","7,50E-03","7,93E-03",24
1,weighted,step,"1,00","0,4","0,00E+00","6,76E-04","1,25E-02","1,32E-02",21
2,weighted,step,"1,00","0,4","0,00E+00","1,03E-03","1,23E-02","1,35E-02",21
2,root,step,"0,10","0,4","0,00E+00","3,81E-04","8,44E-03","8,68E-03",25
1,weighted_root,step,"0,70","0,4","0,00E+00","8,55E-05","1,85E-02","1,87E-02",15
2,weighted_root,step,"0,70","0,4","0,00E+00","4,77E-05","1,55E-02","1,56E-02",18
3,weighted_root,step,"0,70","0,4","0,00E+00","1,11E-04","1,68E-02","1,69E-02",17
3,mean,increase,"0,70","0,4","1,33E-04",,"1,58E-02",,74
1,root,increase,"0,11","0,4","0,00E+00",,"8,89E-03",,26
2,root,increase,"0,11","0,4","0,00E+00",,"7,00E-03",,27
3,root,increase,"0,11","0,4","0,00E+00",,"5,83E-03",,29
4,root,increase,"0,10","0,4","0,00E+00",,"6,93E-03",,25
5,root,increase,"0,10","0,4","0,00E+00",,"3,29E-03",,33
6,root,increase,"0,10","0,4","0,00E+00",,"6,56E-03",,27
1,root,increase,"0,08","0,4","0,00E+00",,"7,88E-04",,49
2,root,increase,"0,08","0,4","0,00E+00",,"5,84E-04",,49
3,root,increase,"0,08","0,4","0,00E+00",,"1,22E-03",,41
